#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
384950:10050,08/24/24 09:59:15,176,HLT_Photon30EB_TightID_TightIso_v11,0.418016846,0.377499496
384951:10050,08/24/24 11:11:49,961,HLT_Photon30EB_TightID_TightIso_v11,2.529495894,2.377580787
384963:10052,08/24/24 21:20:42,2106,HLT_Photon30EB_TightID_TightIso_v11,5.082082857,4.808830151
384981:10056,08/25/24 14:30:56,2100,HLT_Photon30EB_TightID_TightIso_v11,5.061877728,4.789249080
385012:10059,08/26/24 14:29:58,274,HLT_Photon30EB_TightID_TightIso_v11,0.663544289,0.618071064
385016:10061,08/26/24 19:27:38,778,HLT_Photon30EB_TightID_TightIso_v11,1.993217016,1.862072348
385094:10066,08/28/24 20:30:28,951,HLT_Photon30EB_TightID_TightIso_v11,2.448100420,2.300900138
385100:10068,08/29/24 06:12:48,17,HLT_Photon30EB_TightID_TightIso_v11,0.016777968,0.015554505
385127:10069,08/29/24 11:21:07,2039,HLT_Photon30EB_TightID_TightIso_v11,4.839743129,4.583908021
385134:10070,08/30/24 02:46:58,304,HLT_Photon30EB_TightID_TightIso_v11,0.744883445,0.700553195
385142:10072,08/30/24 07:48:37,1942,HLT_Photon30EB_TightID_TightIso_v11,4.627998205,4.368415674
385152:10073,08/31/24 00:23:41,1160,HLT_Photon30EB_TightID_TightIso_v11,2.974176597,2.771631584
385153:10073,08/31/24 07:59:35,852,HLT_Photon30EB_TightID_TightIso_v11,1.806917560,1.721743730
385168:10074,08/31/24 17:44:44,2056,HLT_Photon30EB_TightID_TightIso_v11,4.915063089,4.646638298
385178:10075,09/01/24 09:25:43,510,HLT_Photon30EB_TightID_TightIso_v11,1.260767026,1.176426518
385194:10077,09/01/24 18:18:28,1401,HLT_Photon30EB_TightID_TightIso_v11,3.592779384,3.350806586
385260:10082,09/03/24 09:38:15,543,HLT_Photon30EB_TightID_TightIso_v11,1.372932116,1.279393694
385281:10084,09/03/24 18:30:32,1389,HLT_Photon30EB_TightID_TightIso_v11,3.563119767,3.348965918
385284:10084,09/04/24 04:04:19,133,HLT_Photon30EB_TightID_TightIso_v11,0.292194476,0.278730220
385285:10084,09/04/24 05:07:39,289,HLT_Photon30EB_TightID_TightIso_v11,0.555794862,0.520035875
385286:10084,09/04/24 07:10:58,1447,HLT_Photon30EB_TightID_TightIso_v11,1.929326193,1.876138704
385311:10086,09/04/24 20:10:28,106,HLT_Photon30EB_TightID_TightIso_v11,0.213283413,0.180244538
385312:10086,09/04/24 20:54:59,430,HLT_Photon30EB_TightID_TightIso_v11,1.132498102,1.060149817
385324:10087,09/05/24 04:16:47,1836,HLT_Photon30EB_TightID_TightIso_v11,4.423212050,4.164934052
385354:10090,09/05/24 23:32:09,802,HLT_Photon30EB_TightID_TightIso_v11,2.050847352,1.915998896
385355:10090,09/06/24 04:45:27,950,HLT_Photon30EB_TightID_TightIso_v11,2.287908863,2.154547613
385383:10091,09/06/24 14:25:32,360,HLT_Photon30EB_TightID_TightIso_v11,0.896073297,0.837807123
385386:10091,09/06/24 17:28:57,10,HLT_Photon30EB_TightID_TightIso_v11,0.026206129,0.023501445
385387:10091,09/06/24 17:43:46,363,HLT_Photon30EB_TightID_TightIso_v11,0.955046905,0.894267430
385390:10092,09/06/24 22:13:08,1652,HLT_Photon30EB_TightID_TightIso_v11,4.190213564,3.933932711
385391:10092,09/07/24 08:58:33,542,HLT_Photon30EB_TightID_TightIso_v11,0.997404018,0.957918019
385408:10093,09/07/24 16:43:27,409,HLT_Photon30EB_TightID_TightIso_v11,1.021882818,0.963967312
385415:10094,09/07/24 21:29:09,508,HLT_Photon30EB_TightID_TightIso_v11,1.283166652,1.207576336
385422:10095,09/08/24 04:08:22,1117,HLT_Photon30EB_TightID_TightIso_v11,2.882719443,2.676248003
385423:10095,09/08/24 11:26:06,396,HLT_Photon30EB_TightID_TightIso_v11,0.998972879,0.924836208
385424:10095,09/08/24 14:01:18,636,HLT_Photon30EB_TightID_TightIso_v11,1.223013035,1.159967554
385437:10096,09/08/24 20:29:56,779,HLT_Photon30EB_TightID_TightIso_v11,2.002287908,1.862764784
385443:10097,09/09/24 03:51:29,1586,HLT_Photon30EB_TightID_TightIso_v11,4.033059670,3.781115819
385444:10097,09/09/24 14:11:45,154,HLT_Photon30EB_TightID_TightIso_v11,0.317317538,0.301734548
385447:10097,09/09/24 15:16:47,172,HLT_Photon30EB_TightID_TightIso_v11,0.327697404,0.315483507
385474:10098,09/09/24 19:24:24,719,HLT_Photon30EB_TightID_TightIso_v11,1.818099050,1.705500531
385478:10099,09/10/24 02:09:42,646,HLT_Photon30EB_TightID_TightIso_v11,1.645926305,1.491236231
385480:10099,09/10/24 06:27:18,6,HLT_Photon30EB_TightID_TightIso_v11,0.015724298,0.000860507
385481:10099,09/10/24 06:33:02,104,HLT_Photon30EB_TightID_TightIso_v11,0.272790714,0.247714237
385483:10099,09/10/24 07:19:45,22,HLT_Photon30EB_TightID_TightIso_v11,0.057863971,0.050563159
385484:10099,09/10/24 07:31:07,19,HLT_Photon30EB_TightID_TightIso_v11,0.049655125,0.043512816
385511:10100,09/10/24 12:07:41,104,HLT_Photon30EB_TightID_TightIso_v11,0.218761581,0.203593329
385512:10100,09/10/24 12:50:53,23,HLT_Photon30EB_TightID_TightIso_v11,0.060426775,0.051180704
385513:10100,09/10/24 13:03:20,20,HLT_Photon30EB_TightID_TightIso_v11,0.052495547,0.045395475
385514:10100,09/10/24 13:14:48,26,HLT_Photon30EB_TightID_TightIso_v11,0.068726433,0.057252576
385515:10100,09/10/24 13:30:08,1639,HLT_Photon30EB_TightID_TightIso_v11,4.074905858,3.792138869
385567:10104,09/11/24 12:50:43,294,HLT_Photon30EB_TightID_TightIso_v11,0.614987170,0.573545945
385568:10104,09/11/24 14:48:38,256,HLT_Photon30EB_TightID_TightIso_v11,0.668501439,0.626301147
385589:10105,09/11/24 22:31:01,210,HLT_Photon30EB_TightID_TightIso_v11,0.501368908,0.470208222
385591:10105,09/11/24 23:58:16,18,HLT_Photon30EB_TightID_TightIso_v11,0.047090841,0.026885807
385592:10105,09/12/24 00:06:53,22,HLT_Photon30EB_TightID_TightIso_v11,0.057712321,0.030205711
385604:10105,09/12/24 01:44:44,1092,HLT_Photon30EB_TightID_TightIso_v11,2.799740790,2.635655112
